set_type,instance_name,instance_file,note_trials,repeat_id,seed,best_cost,opt_cost,error_percent,time_ms
TSP,bays29,data/tsp/bays29.tsp,1000,4,112349,4595,2020,127.475,3.11348
TSP,bays29,data/tsp/bays29.tsp,1000,5,112350,4699,2020,132.624,3.04825
TSP,bays29,data/tsp/bays29.tsp,2000,1,212346,4362,2020,115.941,5.99908
TSP,bays29,data/tsp/bays29.tsp,2000,2,212347,4585,2020,126.98,5.78808
TSP,bays29,data/tsp/bays29.tsp,2000,3,212348,4413,2020,118.465,5.87961
TSP,bays29,data/tsp/bays29.tsp,2000,4,212349,4478,2020,121.683,5.80034
TSP,bays29,data/tsp/bays29.tsp,2000,5,212350,4393,2020,117.475,5.8194
TSP,bays29,data/tsp/bays29.tsp,5000,1,512346,4360,2020,115.842,14.816
TSP,bays29,data/tsp/bays29.tsp,5000,2,512347,4353,2020,115.495,14.5697
TSP,bays29,data/tsp/bays29.tsp,5000,3,512348,4283,2020,112.03,14.7367
TSP,bays29,data/tsp/bays29.tsp,5000,4,512349,4533,2020,124.406,14.6548
TSP,bays29,data/tsp/bays29.tsp,5000,5,512350,4349,2020,115.297,14.6033
TSP,bays29,data/tsp/bays29.tsp,10000,1,1012346,4282,2020,111.98,29.1739
TSP,bays29,data/tsp/bays29.tsp,10000,2,1012347,3917,2020,93.9109,29.1924
TSP,bays29,data/tsp/bays29.tsp,10000,3,1012348,4161,2020,105.99,29.1035
TSP,bays29,data/tsp/bays29.tsp,10000,4,1012349,4457,2020,120.644,29.1535
TSP,bays29,data/tsp/bays29.tsp,10000,5,1012350,4340,2020,114.851,29.2257
TSP,bays29,data/tsp/bays29.tsp,20000,1,2012346,4315,2020,113.614,58.1043
TSP,bays29,data/tsp/bays29.tsp,20000,2,2012347,3931,2020,94.604,58.1266
TSP,bays29,data/tsp/bays29.tsp,20000,3,2012348,4295,2020,112.624,58.2732
TSP,bays29,data/tsp/bays29.tsp,20000,4,2012349,4314,2020,113.564,58.1028
TSP,bays29,data/tsp/bays29.tsp,20000,5,2012350,4364,2020,116.04,58.1132
TSP,bays29,data/tsp/bays29.tsp,50000,1,5012346,4262,2020,110.99,144.689
TSP,bays29,data/tsp/bays29.tsp,50000,2,5012347,4128,2020,104.356,144.733
TSP,bays29,data/tsp/bays29.tsp,50000,3,5012348,4116,2020,103.762,145.169
TSP,bays29,data/tsp/bays29.tsp,50000,4,5012349,4278,2020,111.782,144.194
TSP,bays29,data/tsp/bays29.tsp,50000,5,5012350,4063,2020,101.139,144.72
TSP,bays29,data/tsp/bays29.tsp,500000,1,50012346,3838,2020,90,1441.5
TSP,bays29,data/tsp/bays29.tsp,500000,2,50012347,3848,2020,90.495,1443.05
TSP,bays29,data/tsp/bays29.tsp,500000,3,50012348,3929,2020,94.505,1446.08
TSP,bays29,data/tsp/bays29.tsp,500000,4,50012349,3964,2020,96.2376,1440.47
TSP,bays29,data/tsp/bays29.tsp,500000,5,50012350,3810,2020,88.6139,1442.2
TSP,bays29,data/tsp/bays29.tsp,2000000,1,200012346,3769,2020,86.5842,5771.31
TSP,bays29,data/tsp/bays29.tsp,2000000,2,200012347,3758,2020,86.0396,5762.75
TSP,bays29,data/tsp/bays29.tsp,2000000,3,200012348,3835,2020,89.8515,5771.32
TSP,bays29,data/tsp/bays29.tsp,2000000,4,200012349,3782,2020,87.2277,5755.1
TSP,bays29,data/tsp/bays29.tsp,2000000,5,200012350,3875,2020,91.8317,5765.51
TSP,berlin52,data/tsp/berlin52.tsp,100,1,22346,26228,7542,247.759,0.505995
TSP,berlin52,data/tsp/berlin52.tsp,100,2,22347,25277,7542,235.15,0.507378
TSP,berlin52,data/tsp/berlin52.tsp,100,3,22348,25627,7542,239.791,0.505164
TSP,berlin52,data/tsp/berlin52.tsp,100,4,22349,24368,7542,223.097,0.722634
TSP,berlin52,data/tsp/berlin52.tsp,100,5,22350,25399,7542,236.767,0.504513
TSP,berlin52,data/tsp/berlin52.tsp,500,1,62346,24353,7542,222.898,2.53723
TSP,berlin52,data/tsp/berlin52.tsp,500,2,62347,25235,7542,234.593,2.51925
TSP,berlin52,data/tsp/berlin52.tsp,500,3,62348,23897,7542,216.852,2.73196
TSP,berlin52,data/tsp/berlin52.tsp,500,4,62349,25424,7542,237.099,2.52488
TSP,berlin52,data/tsp/berlin52.tsp,500,5,62350,25162,7542,233.625,2.59692
TSP,berlin52,data/tsp/berlin52.tsp,1000,1,112346,25352,7542,236.144,5.12693
TSP,berlin52,data/tsp/berlin52.tsp,1000,2,112347,24145,7542,220.141,5.05976
TSP,berlin52,data/tsp/berlin52.tsp,1000,3,112348,24902,7542,230.178,5.13399
TSP,berlin52,data/tsp/berlin52.tsp,1000,4,112349,22787,7542,202.135,5.18052
TSP,berlin52,data/tsp/berlin52.tsp,1000,5,112350,24930,7542,230.549,5.18594
TSP,berlin52,data/tsp/berlin52.tsp,2000,1,212346,22737,7542,201.472,10.2814
TSP,berlin52,data/tsp/berlin52.tsp,2000,2,212347,24493,7542,224.755,10.2046
TSP,berlin52,data/tsp/berlin52.tsp,2000,3,212348,23351,7542,209.613,10.218
TSP,berlin52,data/tsp/berlin52.tsp,2000,4,212349,24548,7542,225.484,10.2464
TSP,berlin52,data/tsp/berlin52.tsp,2000,5,212350,24509,7542,224.967,10.4715
TSP,berlin52,data/tsp/berlin52.tsp,5000,1,512346,24335,7542,222.66,25.5759
TSP,berlin52,data/tsp/berlin52.tsp,5000,2,512347,23871,7542,216.508,25.4818
TSP,berlin52,data/tsp/berlin52.tsp,5000,3,512348,23715,7542,214.439,25.5309
TSP,berlin52,data/tsp/berlin52.tsp,5000,4,512349,23693,7542,214.147,25.6082
TSP,berlin52,data/tsp/berlin52.tsp,5000,5,512350,21622,7542,186.688,25.8947
TSP,berlin52,data/tsp/berlin52.tsp,10000,1,1012346,23259,7542,208.393,52.4124
TSP,berlin52,data/tsp/berlin52.tsp,10000,2,1012347,23770,7542,215.168,50.4556
TSP,berlin52,data/tsp/berlin52.tsp,10000,3,1012348,24094,7542,219.464,50.5036
TSP,berlin52,data/tsp/berlin52.tsp,10000,4,1012349,23816,7542,215.778,50.5355
TSP,berlin52,data/tsp/berlin52.tsp,10000,5,1012350,23867,7542,216.455,50.5075
TSP,berlin52,data/tsp/berlin52.tsp,20000,1,2012346,23376,7542,209.944,101.059
TSP,berlin52,data/tsp/berlin52.tsp,20000,2,2012347,23621,7542,213.193,100.946
TSP,berlin52,data/tsp/berlin52.tsp,20000,3,2012348,22902,7542,203.66,100.885
TSP,berlin52,data/tsp/berlin52.tsp,20000,4,2012349,23446,7542,210.872,100.761
TSP,berlin52,data/tsp/berlin52.tsp,20000,5,2012350,22423,7542,197.308,100.736
TSP,berlin52,data/tsp/berlin52.tsp,50000,1,5012346,22948,7542,204.269,251.569
TSP,berlin52,data/tsp/berlin52.tsp,50000,2,5012347,22188,7542,194.193,251.499
TSP,berlin52,data/tsp/berlin52.tsp,50000,3,5012348,23241,7542,208.154,251.181
TSP,berlin52,data/tsp/berlin52.tsp,50000,4,5012349,21825,7542,189.379,251.62
TSP,berlin52,data/tsp/berlin52.tsp,50000,5,5012350,22639,7542,200.172,251.174
TSP,berlin52,data/tsp/berlin52.tsp,500000,1,50012346,22336,7542,196.155,2513.6
TSP,berlin52,data/tsp/berlin52.tsp,500000,2,50012347,22040,7542,192.23,2508.61
TSP,berlin52,data/tsp/berlin52.tsp,500000,3,50012348,22177,7542,194.047,2510.71
TSP,berlin52,data/tsp/berlin52.tsp,500000,4,50012349,21870,7542,189.976,2522.18
TSP,berlin52,data/tsp/berlin52.tsp,500000,5,50012350,21729,7542,188.107,2509.89
TSP,berlin52,data/tsp/berlin52.tsp,2000000,1,200012346,21126,7542,180.111,10038.7
